time,cpu%,mem%,down,Label
48,100.0,59.6,0.0,mining
49,99.3,59.7,0.02392578125,mining
50,100.0,59.7,0.0,mining
51,99.2,59.8,0.0064453125,mining
52,100.0,60.2,0.0,mining
53,100.0,59.9,0.0,mining
54,100.0,60.1,0.005859375,mining
55,81.5,59.5,0.0,mining
56,100.0,59.6,7.896875,mining
57,99.6,59.0,2.93154296875,mining
58,100.0,59.0,0.0236328125,mining
59,100.0,59.1,0.0,mining
60,100.0,59.5,0.0,mining
61,100.0,59.4,0.0064453125,mining
62,100.0,59.5,0.0,mining
63,100.0,59.3,0.0,mining
64,85.0,59.0,0.005859375,mining
65,100.0,59.2,0.0,mining
66,99.6,58.8,0.0,mining
67,100.0,58.9,0.005859375,mining
68,100.0,58.9,0.0076171875,mining
69,100.0,59.0,0.0,mining
70,98.1,59.1,0.005859375,mining
71,100.0,59.2,0.0107421875,mining
72,100.0,59.3,0.0,mining
73,92.2,59.2,0.0064453125,mining
74,100.0,58.8,0.0,mining
75,100.0,58.8,0.0,mining
76,99.6,58.8,0.0,mining
77,100.0,58.8,4.637109375,mining
78,100.0,58.8,16.8396484375,mining
79,99.4,59.1,3.414453125,mining
80,100.0,59.1,0.0,mining
81,100.0,59.1,0.0,mining
82,95.3,58.9,0.0,mining
83,100.0,58.9,0.0,mining
84,100.0,58.7,0.05703125,mining
85,100.0,58.8,0.0,mining
86,100.0,58.9,0.2646484375,mining
87,100.0,58.9,0.045703125,mining
88,100.0,59.1,0.1091796875,mining
89,100.0,59.0,0.0,mining
90,100.0,59.0,0.0,mining
91,100.0,59.0,0.0,mining
92,100.0,59.0,0.0,mining
93,100.0,58.9,0.0,mining
94,100.0,58.9,0.0,mining
95,100.0,58.8,45.91337890625,mining
96,100.0,58.9,0.4615234375,mining
97,100.0,58.9,3.956640625,mining
98,100.0,58.7,0.005859375,mining
99,99.1,58.7,0.0,mining
100,100.0,58.7,0.01171875,mining
101,99.6,58.7,0.0,mining
102,98.0,58.7,0.0,mining
103,100.0,58.6,0.0107421875,mining
104,100.0,58.7,0.0,mining
105,100.0,58.7,0.0,mining
106,96.8,58.5,0.0,mining
107,55.8,58.5,0.0,mining
108,99.6,58.4,0.0,mining
109,100.0,58.3,0.0083984375,mining
110,100.0,58.3,0.0,mining
111,96.6,58.3,0.0,mining
112,100.0,58.4,0.0,mining
113,100.0,58.3,0.0,mining
114,88.8,58.1,0.09521484375,mining
