time,cpu%,mem%,down
231,70,81.6,18.32324219
232,85.7,81.6,0
233,81.8,81.6,23.69277344
234,57.1,81.6,0
235,63.6,81.6,40.35898438
236,75,81.6,0
237,77.8,81.6,2.89453125
238,75,81.6,28.78613281
239,75,81.6,11.85488281
240,75,81.6,24.10703125
241,62.5,81.6,17.6328125
242,85.7,81.6,28.33652344
243,84.6,81.6,0.094921875
244,86.7,81.6,4.908007813
245,66.7,81.6,12.15166016
246,66.7,81.6,0
247,71.4,81.6,0
248,70,81.6,39.53046875
249,77.8,81.6,38.02792969
250,57.1,81.6,0.966601563
251,75,81.6,23.14570313
252,71.4,81.6,0
253,72.7,81.6,19.70410156
254,66.7,81.6,18.04707031
255,66.7,81.6,2.080957031
256,70,81.6,12.81035156
257,80,81.6,6.612304688
258,78.6,81.6,0
259,72.7,81.6,0
260,83.3,81.6,0
261,100,81.6,88.44462891
262,73.3,81.6,0
263,77.8,81.6,19.83691406
264,75,81.6,2.899804688
265,72.7,81.6,31.40976563
266,55.6,81.6,0
267,70,81.6,15.57734375
268,87.5,81.6,0
269,60,81.6,58.8203125
270,83.3,81.6,1.933203125
271,76.9,81.6,0
272,78.6,81.6,16.94238281
273,81.2,81.4,41.80742188
274,66.7,81.4,10.26777344
275,72.7,81.4,14.06484375
276,75,81.4,10.16191406
277,90,81.4,0.1765625
278,91.7,81.4,0.005859375
279,81.8,81.4,0.01171875
280,78.6,81.4,0.018164063
281,66.7,81.4,0
282,70,81.4,0.0933443
283,70,81.4,2.3254755
284,77.8,81.4,0
285,66.7,81.4,0
286,72.7,81.4,0
287,85.7,81.4,12.90877325
288,71.4,81.4,3.876534224
289,81.8,81.4,0
290,77.8,81.4,0
291,87.5,81.4,0
292,77.8,81.4,4.897623264
293,66.7,81.4,0
294,84.6,81.4,0
295,87.5,81.5,0.988344322
296,75,81.5,0
297,72.7,81.5,0.023433533
298,70,81.5,0
299,90.9,81.5,0
